👍 +1
👎 -1
💯 100
🔢 1234
🎱 8ball
🆎 ab
🔤 abc
🔡 abcd
🚡 aerial_tramway
✈️ airplane
⏰ alarm_clock
👽 alien
🚑 ambulance
⚓ anchor
👼 angel
💢 anger
😠 angry
😧 anguished
🐜 ant
🍎 apple
♒ aquarius
♈ aries
◀️ arrow_backward
⏬ arrow_double_down
⏫ arrow_double_up
⬇️ arrow_down
🔽 arrow_down_small
▶️ arrow_forward
⤵️ arrow_heading_down
⤴️ arrow_heading_up
⬅️ arrow_left
↙️ arrow_lower_left
↘️ arrow_lower_right
➡️ arrow_right
↪️ arrow_right_hook
⬆️ arrow_up
↕️ arrow_up_down
🔼 arrow_up_small
↖️ arrow_upper_left
↗️ arrow_upper_right
🔃 arrows_clockwise
🔄 arrows_counterclockwise
🎨 art
🚛 articulated_lorry
😲 astonished
👟 athletic_shoe
🏧 atm
👶 baby
🍼 baby_bottle
🐤 baby_chick
🚼 baby_symbol
🔙 back
🛄 baggage_claim
🎈 balloon
☑️ ballot_box_with_check
🎍 bamboo
🍌 banana
‼️ bangbang
🏦 bank
📊 bar_chart
💈 barber
⚾️ baseball
🏀 basketball
🛀 bath
🛁 bathtub
🔋 battery
🐻 bear
🐝 bee
🍺 beer
🍻 beers
🐞 beetle
🔰 beginner
🔔 bell
🍱 bento
🚴 bicyclist
🚲 bike
👙 bikini
🐦 bird
🎂 birthday
⚫ black_circle
🃏 black_joker
⬛ black_large_square
◾ black_medium_small_square
◼️ black_medium_square
✒️ black_nib
▪️ black_small_square
🔲 black_square_button
🌼 blossom
🐡 blowfish
📘 blue_book
🚙 blue_car
💙 blue_heart
😊 blush
🐗 boar
⛵ boat
💣 bomb
📖 book
🔖 bookmark
📑 bookmark_tabs
📚 books
💥 boom
👢 boot
💐 bouquet
🙇 bow
🎳 bowling
👦 boy
🍞 bread
👰 bride_with_veil
🌉 bridge_at_night
💼 briefcase
💔 broken_heart
🐛 bug
💡 bulb
🚅 bullettrain_front
🚄 bullettrain_side
🚌 bus
🚏 busstop
👤 bust_in_silhouette
👥 busts_in_silhouette
🌵 cactus
🍰 cake
📆 calendar
📲 calling
🐫 camel
📷 camera
♋ cancer
🍬 candy
🔠 capital_abcd
♑ capricorn
🚗 car
📇 card_index
🎠 carousel_horse
🐱 cat
🐈 cat2
💿 cd
💹 chart
📉 chart_with_downwards_trend
📈 chart_with_upwards_trend
🏁 checkered_flag
🍒 cherries
🌸 cherry_blossom
🌰 chestnut
🐔 chicken
🚸 children_crossing
🍫 chocolate_bar
🎄 christmas_tree
⛪ church
🎦 cinema
🎪 circus_tent
🌇 city_sunrise
🌆 city_sunset
🆑 cl
👏 clap
🎬 clapper
📋 clipboard
🕐 clock1
🕙 clock10
🕥 clock1030
🕚 clock11
🕦 clock1130
🕛 clock12
🕧 clock1230
🕜 clock130
🕑 clock2
🕝 clock230
🕒 clock3
🕞 clock330
🕓 clock4
🕟 clock430
🕔 clock5
🕠 clock530
🕕 clock6
🕡 clock630
🕖 clock7
🕢 clock730
🕗 clock8
🕣 clock830
🕘 clock9
🕤 clock930
📕 closed_book
🔐 closed_lock_with_key
🌂 closed_umbrella
☁️ cloud
♣️ clubs
🍸 cocktail
☕ coffee
😰 cold_sweat
💥 collision
💻 computer
🎊 confetti_ball
😖 confounded
😕 confused
🚧 construction
👷 construction_worker
🏪 convenience_store
🍪 cookie
🆒 cool
👮 cop
©️ copyright
🌽 corn
👫 couple
💑 couple_with_heart
💏 couplekiss
🐮 cow
🐄 cow2
💳 credit_card
🌙 crescent_moon
🐊 crocodile
🎌 crossed_flags
👑 crown
😢 cry
😿 crying_cat_face
🔮 crystal_ball
💘 cupid
➰ curly_loop
💱 currency_exchange
🍛 curry
🍮 custard
🛃 customs
🌀 cyclone
💃 dancer
👯 dancers
🍡 dango
🎯 dart
💨 dash
📅 date
🌳 deciduous_tree
🏬 department_store
💠 diamond_shape_with_a_dot_inside
♦️ diamonds
😞 disappointed
😥 disappointed_relieved
💫 dizzy
😵 dizzy_face
🚯 do_not_litter
🐶 dog
🐕 dog2
💵 dollar
🎎 dolls
🐬 dolphin
🚪 door
🍩 doughnut
🐉 dragon
🐲 dragon_face
👗 dress
🐪 dromedary_camel
💧 droplet
📀 dvd
📧 e-mail
👂 ear
🌾 ear_of_rice
🌍 earth_africa
🌎 earth_americas
🌏 earth_asia
🍳 egg
🍆 eggplant
✴️ eight_pointed_black_star
✳️ eight_spoked_asterisk
🔌 electric_plug
🐘 elephant
✉️ email
🔚 end
✉️ envelope
📩 envelope_with_arrow
💶 euro
